,date,Laxapana Hydro Complex,Mahaweli Hydro Complex,Samanala Hydro Complex,CEB Thermal Coal,CEB Thermal Oil,IPP Thermal Oil,CEB Wind,SPP Wind,SPP Solar 1,SPP Biomass,SPP Minihydro 2,Total
0,02/27/2023,2.94,4.64,0.4,18.7,2.6,0.0,0.96,0.98,2.17,0.53,1.88,35.8
1,02/28/2023,3.99,4.69,0.71,19.52,3.71,4.46,0.77,0.81,2.0,0.23,1.75,42.64
2,03/01/2023,3.58,4.78,0.78,19.33,3.31,5.99,0.9,1.05,1.95,0.31,1.88,43.86
3,03/02/2023,3.29,3.68,0.96,19.49,4.56,5.41,0.99,1.16,1.98,0.3,1.88,43.7
4,03/04/2023,3.48,4.29,0.61,19.51,7.3,2.43,0.92,0.83,2.03,0.22,1.31,42.93
5,03/05/2023,3.14,4.47,0.54,19.5,7.18,0.0,0.91,0.56,2.02,0.22,1.31,39.85
6,03/07/2023,3.54,3.47,0.18,18.73,4.27,0.0,0.7,0.51,2.11,0.37,1.31,35.19
7,03/08/2023,3.85,4.16,0.65,19.14,6.7,2.6,0.86,0.52,2.02,0.33,1.31,42.16
8,03/09/2023,2.96,4.33,0.98,19.52,7.0,3.51,1.09,0.79,2.15,0.29,1.31,43.92
9,03/10/2023,3.78,3.76,1.13,19.57,7.37,3.54,1.16,0.94,2.1,0.32,1.31,44.98
10,03/11/2023,4.09,4.16,1.1,19.53,7.72,4.08,0.82,0.57,1.96,0.32,1.31,45.66
11,03/14/2023,3.55,4.91,0.54,19.14,5.0,4.38,0.69,0.55,2.09,0.22,1.31,42.39
12,03/15/2023,3.78,5.78,0.64,19.35,3.56,6.47,0.35,0.31,2.04,0.36,1.31,43.96
13,03/15/2023,3.78,5.78,0.64,19.35,3.56,6.47,0.35,0.31,2.04,0.36,1.31,43.96
14,03/15/2023,3.78,5.78,0.64,19.35,3.56,6.47,0.35,0.31,2.04,0.36,1.31,43.96
15,03/17/2023,4.39,4.94,0.6,19.37,3.65,6.4,0.26,0.2,2.03,0.33,1.31,43.5
16,03/18/2023,3.41,4.79,0.51,19.55,3.82,6.13,0.53,0.44,2.18,0.35,1.31,43.02
17,03/19/2023,2.97,4.01,0.33,19.58,3.49,6.18,0.29,0.37,2.08,0.34,1.31,40.94
18,03/19/2023,2.97,4.01,0.33,19.58,3.49,6.18,0.29,0.37,2.08,0.34,1.31,40.94
19,03/20/2023,3.38,6.37,0.28,14.95,4.02,2.61,0.3,0.27,2.01,0.32,1.31,35.83
20,03/21/2023,5.19,6.35,0.65,12.84,6.32,5.98,0.59,0.41,2.06,0.28,1.31,41.96
21,03/22/2023,5.53,6.11,1.05,12.95,7.25,6.58,0.16,0.19,2.01,0.21,1.31,43.36
22,03/23/2023,5.72,6.74,1.0,12.2,8.0,6.46,0.3,0.21,2.16,0.22,1.31,44.32
23,03/24/2023,6.18,6.1,1.14,10.89,9.28,6.63,0.22,0.16,2.1,0.28,1.31,44.3
24,03/25/2023,5.34,5.56,0.92,12.89,7.68,6.58,0.16,0.16,2.1,0.33,1.31,43.03
25,03/26/2023,6.45,5.48,0.83,12.77,4.5,6.59,0.14,0.08,2.14,0.37,1.31,40.65
26,03/27/2023,6.65,5.87,0.84,12.87,4.7,3.2,0.1,0.12,2.09,0.35,1.31,38.12
27,03/28/2023,6.9,7.09,1.62,12.86,7.45,5.12,0.07,0.09,2.14,0.31,1.31,44.96
28,03/29/2023,6.52,6.03,1.74,12.92,8.59,6.59,0.19,0.19,2.16,0.37,1.31,46.62
29,03/30/2023,6.54,5.84,1.93,12.97,8.67,6.57,0.16,0.15,2.17,0.36,1.31,46.67
30,03/31/2023,6.53,5.5,1.67,12.69,8.45,6.59,0.11,0.11,2.17,0.25,1.31,45.38
31,04/02/2023,4.28,4.31,1.57,17.41,4.15,6.5,0.33,0.25,2.28,0.29,2.38,43.74
32,04/04/2023,5.62,5.45,1.61,15.5,5.67,4.98,0.25,0.23,2.34,0.25,2.38,44.29
33,04/05/2023,6.02,5.1,1.92,12.49,6.26,6.37,0.55,0.43,2.27,0.37,2.38,44.16
34,04/06/2023,5.8,4.24,1.69,11.25,3.52,6.69,0.09,0.14,2.34,0.34,2.38,38.47
35,04/07/2023,6.72,6.16,2.27,11.22,7.0,6.67,0.19,0.19,2.28,0.35,2.38,45.45
36,04/08/2023,6.22,4.76,2.33,11.19,7.65,6.62,0.31,0.22,2.33,0.33,2.38,44.35
37,04/09/2023,5.66,3.47,1.65,11.2,7.59,6.66,0.41,0.38,2.19,0.35,2.38,41.95
38,04/10/2023,4.65,3.95,1.25,11.26,7.64,3.27,0.46,0.28,2.32,0.34,2.38,37.82
39,04/10/2023,4.65,3.95,1.25,11.26,7.64,3.27,0.46,0.28,2.32,0.34,2.38,37.82
40,04/11/2023,6.42,3.67,1.86,11.23,7.59,5.89,0.64,0.29,2.28,0.33,2.38,42.58
41,04/12/2023,5.3,3.17,1.46,11.25,7.58,6.61,0.49,0.48,2.25,0.37,2.38,41.34
42,04/13/2023,4.21,3.47,1.1,11.26,7.17,6.54,0.37,0.23,2.31,0.2,2.38,39.24
43,04/14/2023,4.86,4.68,1.82,11.24,4.24,4.37,0.18,0.14,2.23,0.25,2.38,36.38
44,04/16/2023,4.96,3.54,1.25,10.91,3.72,3.28,0.14,0.1,2.28,0.29,2.38,32.85
45,04/17/2023,4.7,2.56,1.73,14.23,3.03,0.99,0.2,0.15,2.23,0.12,2.38,32.32
46,04/18/2023,4.74,3.14,1.79,19.3,3.26,2.22,0.2,0.12,2.27,0.37,2.38,39.77
47,04/19/2023,3.88,2.68,1.83,19.49,4.97,6.31,0.08,0.06,2.23,0.23,2.38,44.14
48,04/20/2023,4.11,2.94,2.47,19.48,7.5,5.41,0.29,0.24,2.22,0.33,2.38,47.37
49,04/21/2023,3.13,2.92,2.04,19.49,8.0,6.32,1.04,0.52,2.18,0.23,2.38,48.25
50,04/22/2023,2.72,2.63,1.05,19.48,8.75,6.13,1.15,0.69,2.22,0.27,2.38,47.47
51,04/23/2023,2.08,2.7,1.28,19.34,6.18,5.64,0.64,0.39,2.17,0.19,2.38,42.99
52,04/24/2023,2.11,3.28,1.13,18.82,5.45,2.61,0.26,0.2,2.27,0.32,2.38,38.84
53,04/25/2023,2.44,3.21,1.73,19.48,7.59,5.01,0.09,0.14,2.18,0.3,2.38,44.56
54,04/26/2023,2.12,2.79,1.07,19.38,8.04,5.45,0.06,0.13,2.19,0.32,2.38,43.93
0,04/27/2023,2.38,2.21,1.66,19.08,8.35,4.39,0.17,0.14,2.16,0.33,2.38,43.24
