,Night Peak Data (Complex Wise),Active Power (MW),Reactive Power (Mvar),date
0,Laxapana Hydro Complex,289.9,32.3,02/27/2023
1,Mahaweli Hydro Complex,612.2,112.8,02/27/2023
2,Samanala Hydro Complex,119.1,20.7,02/27/2023
3,CEB Thermal Coal,813.4,165.6,02/27/2023
4,CEB Thermal Oil,78.1,33.9,02/27/2023
5,IPP Thermal Oil,0.0,0.0,02/27/2023
6,CEB Wind,35.5,-16.5,02/27/2023
7,SPP Wind,17.3,3.5,02/27/2023
8,CEB Small Hydro,1.6,0.0,02/27/2023
9,SPP Biomass,10.3,3.2,02/27/2023
10,SPP Minihydro,23.5,0.0,02/27/2023
11,Capacitors,0.0,97.3,02/27/2023
12,Total,2001.0,452.8,02/27/2023
13,Laxapana Hydro Complex,283.3,17.1,02/28/2023
14,Mahaweli Hydro Complex,425.0,67.6,02/28/2023
15,Samanala Hydro Complex,98.2,29.1,02/28/2023
16,CEB Thermal Coal,815.8,93.6,02/28/2023
17,CEB Thermal Oil,195.3,34.6,02/28/2023
18,IPP Thermal Oil,282.5,6.9,02/28/2023
19,CEB Wind,45.6,3.6,02/28/2023
20,SPP Wind,13.0,3.6,02/28/2023
21,CEB Small Hydro,2.0,0.0,02/28/2023
22,SPP Biomass,9.3,2.3,02/28/2023
23,SPP Minihydro,20.8,0.0,02/28/2023
24,Capacitors,0.0,212.9,02/28/2023
25,Total,2190.8,471.3,02/28/2023
26,Laxapana Hydro Complex,235.6,55.7,03/01/2023
27,Mahaweli Hydro Complex,459.3,62.7,03/01/2023
28,Samanala Hydro Complex,99.7,26.3,03/01/2023
29,CEB Thermal Coal,816.3,107.5,03/01/2023
30,CEB Thermal Oil,183.5,70.4,03/01/2023
31,IPP Thermal Oil,278.8,43.2,03/01/2023
32,CEB Wind,35.8,-16.7,03/01/2023
33,SPP Wind,24.3,3.4,03/01/2023
34,CEB Small Hydro,0.0,0.0,03/01/2023
35,SPP Biomass,8.9,4.3,03/01/2023
36,SPP Minihydro,29.0,0.0,03/01/2023
37,Capacitors,0.0,95.8,03/01/2023
38,Total,2171.3,452.5,03/01/2023
39,Laxapana Hydro Complex,263.1,40.3,03/02/2023
40,Mahaweli Hydro Complex,372.1,70.9,03/02/2023
41,Samanala Hydro Complex,119.3,21.1,03/02/2023
42,CEB Thermal Coal,811.0,106.7,03/02/2023
43,CEB Thermal Oil,245.9,91.1,03/02/2023
44,IPP Thermal Oil,274.0,11.2,03/02/2023
45,CEB Wind,58.2,3.1,03/02/2023
46,SPP Wind,32.9,3.1,03/02/2023
47,CEB Small Hydro,2.5,0.0,03/02/2023
48,SPP Biomass,0.0,0.0,03/02/2023
49,SPP Minihydro,30.1,0.0,03/02/2023
50,Capacitors,0.0,101.8,03/02/2023
51,Total,2209.1,449.3,03/02/2023
52,Laxapana Hydro Complex,246.7,18.0,03/04/2023
53,Mahaweli Hydro Complex,457.7,38.5,03/04/2023
54,Samanala Hydro Complex,90.9,21.2,03/04/2023
55,CEB Thermal Coal,814.0,67.4,03/04/2023
56,CEB Thermal Oil,341.0,121.1,03/04/2023
57,IPP Thermal Oil,136.7,35.9,03/04/2023
58,CEB Wind,61.9,3.4,03/04/2023
59,SPP Wind,29.3,3.4,03/04/2023
60,CEB Small Hydro,2.5,0.0,03/04/2023
61,SPP Biomass,0.0,0.0,03/04/2023
62,SPP Minihydro,28.1,0.0,03/04/2023
63,Capacitors,0.0,127.1,03/04/2023
64,Total,2208.8,436.1,03/04/2023
65,Laxapana Hydro Complex,233.4,30.8,03/05/2023
66,Mahaweli Hydro Complex,481.1,43.0,03/05/2023
67,Samanala Hydro Complex,90.2,22.7,03/05/2023
68,CEB Thermal Coal,812.9,71.7,03/05/2023
69,CEB Thermal Oil,342.6,145.0,03/05/2023
70,IPP Thermal Oil,0.0,0.0,03/05/2023
71,CEB Wind,32.4,-26.2,03/05/2023
72,SPP Wind,9.3,3.8,03/05/2023
73,CEB Small Hydro,2.5,0.0,03/05/2023
74,SPP Biomass,0.0,0.0,03/05/2023
75,SPP Minihydro,33.8,0.0,03/05/2023
76,Capacitors,0.0,116.3,03/05/2023
77,Total,2038.1,407.1,03/05/2023
78,Laxapana Hydro Complex,215.4,27.0,03/07/2023
79,Mahaweli Hydro Complex,447.9,25.1,03/07/2023
80,Samanala Hydro Complex,40.1,14.0,03/07/2023
81,CEB Thermal Coal,812.8,71.9,03/07/2023
82,CEB Thermal Oil,235.9,79.2,03/07/2023
83,IPP Thermal Oil,0.0,0.0,03/07/2023
84,CEB Wind,45.7,-16.9,03/07/2023
85,SPP Wind,17.2,3.1,03/07/2023
86,CEB Small Hydro,2.5,0.0,03/07/2023
87,SPP Biomass,5.8,1.9,03/07/2023
88,SPP Minihydro,28.7,0.0,03/07/2023
89,Capacitors,0.0,76.0,03/07/2023
90,Total,1852.1,281.3,03/07/2023
91,Laxapana Hydro Complex,233.6,36.9,03/08/2023
92,Mahaweli Hydro Complex,335.3,60.8,03/08/2023
93,Samanala Hydro Complex,119.9,20.3,03/08/2023
94,CEB Thermal Coal,813.3,97.2,03/08/2023
95,CEB Thermal Oil,320.2,134.5,03/08/2023
96,IPP Thermal Oil,283.1,14.2,03/08/2023
97,CEB Wind,61.1,2.8,03/08/2023
98,SPP Wind,24.0,2.9,03/08/2023
99,CEB Small Hydro,2.5,0.0,03/08/2023
100,SPP Biomass,4.3,3.6,03/08/2023
101,SPP Minihydro,37.0,0.0,03/08/2023
102,Capacitors,0.0,96.0,03/08/2023
103,Total,2234.3,469.2,03/08/2023
104,Laxapana Hydro Complex,142.4,42.7,03/09/2023
105,Mahaweli Hydro Complex,465.1,40.6,03/09/2023
106,Samanala Hydro Complex,121.0,23.9,03/09/2023
107,CEB Thermal Coal,800.8,128.2,03/09/2023
108,CEB Thermal Oil,341.9,115.0,03/09/2023
109,IPP Thermal Oil,280.9,11.5,03/09/2023
110,CEB Wind,61.3,-2.5,03/09/2023
111,SPP Wind,38.1,2.4,03/09/2023
112,CEB Small Hydro,0.9,0.0,03/09/2023
