,Description,Active Power (MW),Reactive Power (Mvar),Time,date
0,Day peak ,1272.2,371.6, 16:00,2/27/2023
1,Night peak ,2001.0,452.8, 19:15,2/27/2023
2,Minimum demand ,1129.0,151.6, 04:00,2/27/2023
3,Day peak ,1960.9,708.5, 16:00,2/28/2023
4,Night peak ,2190.8,471.3, 19:00,2/28/2023
5,Minimum demand ,1129.9,103.6, 02:45,2/28/2023
6,Day peak ,1868.3,639.4, 15:45,2023-03-01 17:37:58.874119
7,Night peak ,2171.3,452.5, 19:00,2023-03-01 17:37:58.874119
8,Minimum demand ,1197.1,112.3, 03:15,2023-03-01 17:37:58.874119
9,Day peak ,1882.3,679.0, 16:00,2023-03-02 14:34:43.871596
10,Night peak ,2209.1,449.3, 19:00,2023-03-02 14:34:43.871596
11,Minimum demand ,1187.1,121.5, 02:45,2023-03-02 14:34:43.871596
12,Day peak ,1882.6,639.8, 16:00,2023-03-04 21:09:54.581704
13,Night peak ,2208.8,436.1, 19:00,2023-03-04 21:09:54.581704
14,Minimum demand ,1223.1,135.3, 03:00,2023-03-04 21:09:54.581704
15,Day peak ,1635.5,433.6, 16:00,2023-03-05 19:25:50.764715
16,Night peak ,2038.1,407.1, 19:00,2023-03-05 19:25:50.764715
17,Minimum demand ,1213.8,141.4, 03:45,2023-03-05 19:25:50.764715
18,Day peak ,1348.5,323.8, 16:00,2023-03-07 17:51:27.220620
19,Night peak ,1852.1,281.3, 19:00,2023-03-07 17:51:27.220620
20,Minimum demand ,1114.9,116.3, 03:00,2023-03-07 17:51:27.220620
21,Day peak ,1960.2,708.6, 16:00,2023-03-08 21:06:12.022749
22,Night peak ,2234.3,469.2, 19:00,2023-03-08 21:06:12.022749
23,Minimum demand ,1096.5,57.0, 03:15,2023-03-08 21:06:12.022749
24,Day peak ,1963.6,741.9, 16:00,2023-03-09 21:31:13.235071
25,Night peak ,2294.0,506.5, 19:00,2023-03-09 21:31:13.235071
26,Minimum demand ,1250.6,200.5, 02:45,2023-03-09 21:31:13.235071
27,Day peak ,2009.5,745.0, 16:00,2023-03-10 16:21:50.648680
28,Night peak ,2315.3,629.1, 19:00,2023-03-10 16:21:50.648680
29,Minimum demand ,1287.5,211.5, 03:00,2023-03-10 16:21:50.648680
30,Day peak ,2009.3,671.4, 16:00,2023-03-11 22:03:02.583778
31,Night peak ,2240.6,537.2, 19:00,2023-03-11 22:03:02.583778
32,Minimum demand ,1315.0,307.3, 03:00,2023-03-11 22:03:02.583778
33,Day peak ,1959.9,665.7, 16:00,2023-03-14 20:01:44.986550
34,Night peak ,2272.5,558.6, 19:00,2023-03-14 20:01:44.986550
35,Minimum demand ,1102.7,75.8, 02:30,2023-03-14 20:01:44.986550
36,Day peak ,1989.9,692.4, 16:00,2023-03-15 09:39:46.241283
37,Night peak ,2207.2,420.0, 19:00,2023-03-15 09:39:46.241283
38,Minimum demand ,1255.5,166.9, 03:30,2023-03-15 09:39:46.241283
39,Day peak ,1989.9,692.4, 16:00,2023-03-15 10:16:29.837256
40,Night peak ,2207.2,420.0, 19:00,2023-03-15 10:16:29.837256
41,Minimum demand ,1255.5,166.9, 03:30,2023-03-15 10:16:29.837256
42,Day peak ,1989.9,692.4, 16:00,2023-03-15 15:02:09.283201
43,Night peak ,2207.2,420.0, 19:00,2023-03-15 15:02:09.283201
44,Minimum demand ,1255.5,166.9, 03:30,2023-03-15 15:02:09.283201
1,Day peak ,1989.9,692.4, 16:00,2023-03-15 15:06:21.808680
2,Night peak ,2207.2,420.0, 19:00,2023-03-15 15:06:21.808680
3,Minimum demand ,1255.5,166.9, 03:30,2023-03-15 15:06:21.808680
