,Reservoir/Pond,Present Level (masl),Rainfall (mm) for past 24 h,date
0,Inginiyagala,70.1,0.0,02/27/2023
1,Norton,Not available,0.0,02/27/2023
2,Canyon,Not available,0.0,02/27/2023
3,Laxapana,Not available,0.0,02/27/2023
4,Ukuwela,440.2,0.0,02/27/2023
5,Rantambe,150.8,0.0,02/27/2023
6,Bowatenna,247.3,0.0,02/27/2023
7,Kukule,Not available,0.0,02/27/2023
8,Upper Koth.,1192.8,0.0,02/27/2023
9,Inginiyagala,70.2,13.4,02/28/2023
10,Norton,Not available,0.0,02/28/2023
11,Canyon,Not available,0.0,02/28/2023
12,Laxapana,Not available,0.0,02/28/2023
13,Ukuwela,440,2.8,02/28/2023
14,Rantambe,150.2,5.0,02/28/2023
15,Bowatenna,247.7,3.5,02/28/2023
16,Kukule,Not available,0.0,02/28/2023
17,Upper Koth.,1193.4,0.0,02/28/2023
18,Inginiyagala,70.2,13.4,02/28/2023
19,Norton,Not available,0.0,02/28/2023
20,Canyon,Not available,0.0,02/28/2023
21,Laxapana,Not available,0.0,02/28/2023
22,Ukuwela,440,2.8,02/28/2023
23,Rantambe,150.2,5.0,02/28/2023
24,Bowatenna,247.7,3.5,02/28/2023
25,Kukule,Not available,0.0,02/28/2023
26,Upper Koth.,1193.4,0.0,02/28/2023
27,Inginiyagala,70.4,31.3,03/01/2023
28,Norton,Not available,0.0,03/01/2023
29,Canyon,Not available,5.8,03/01/2023
30,Laxapana,Not available,0.5,03/01/2023
31,Ukuwela,440.8,5.2,03/01/2023
32,Rantambe,149.8,52.5,03/01/2023
33,Bowatenna,247.9,15.3,03/01/2023
34,Kukule,Not available,3.0,03/01/2023
35,Upper Koth.,1193.5,1.3,03/01/2023
36,Inginiyagala,70.5,3.0,03/02/2023
37,Norton,Not available,0.0,03/02/2023
38,Canyon,Not available,0.0,03/02/2023
39,Laxapana,Not available,0.0,03/02/2023
40,Ukuwela,440.6,0.0,03/02/2023
41,Rantambe,150.2,22.8,03/02/2023
42,Bowatenna,248.1,5.9,03/02/2023
43,Kukule,Not available,0.0,03/02/2023
44,Upper Koth.,1193.7,0.0,03/02/2023
45,Inginiyagala,70.6,2.0,03/04/2023
46,Norton,Not available,3.7,03/04/2023
47,Canyon,Not available,0.0,03/04/2023
48,Laxapana,Not available,4.0,03/04/2023
49,Ukuwela,440.2,0.4,03/04/2023
50,Rantambe,150.7,4.0,03/04/2023
51,Bowatenna,248.2,10.2,03/04/2023
52,Kukule,Not available,18.0,03/04/2023
53,Upper Koth.,1193.1,0.8,03/04/2023
54,Inginiyagala,70.7,21.0,03/05/2023
55,Norton,Not available,0.0,03/05/2023
56,Canyon,Not available,0.0,03/05/2023
57,Laxapana,Not available,0.0,03/05/2023
58,Ukuwela,440.1,3.8,03/05/2023
59,Rantambe,150.6,5.0,03/05/2023
60,Bowatenna,248.3,21.8,03/05/2023
61,Kukule,Not available,0.0,03/05/2023
62,Upper Koth.,1193.2,0.0,03/05/2023
63,Inginiyagala,70.9,0.0,03/07/2023
64,Norton,Not available,0.0,03/07/2023
65,Canyon,Not available,22.5,03/07/2023
66,Laxapana,Not available,0.5,03/07/2023
67,Ukuwela,440.4,0.0,03/07/2023
68,Rantambe,150.5,22.6,03/07/2023
69,Bowatenna,248.1,0.0,03/07/2023
70,Kukule,Not available,32.0,03/07/2023
71,Upper Koth.,1193.7,0.0,03/07/2023
72,Inginiyagala,70.9,0.0,03/08/2023
73,Norton,Not available,25.5,03/08/2023
74,Canyon,Not available,8.2,03/08/2023
75,Laxapana,Not available,1.3,03/08/2023
76,Ukuwela,440.3,0.0,03/08/2023
77,Rantambe,150,0.0,03/08/2023
78,Bowatenna,248.3,0.0,03/08/2023
79,Kukule,Not available,0.0,03/08/2023
80,Upper Koth.,1193.7,0.0,03/08/2023
81,Inginiyagala,70.9,2.0,03/09/2023
82,Norton,Not available,3.0,03/09/2023
83,Canyon,Not available,0.8,03/09/2023
84,Laxapana,Not available,1.1,03/09/2023
85,Ukuwela,439.8,0.0,03/09/2023
86,Rantambe,151.4,0.0,03/09/2023
87,Bowatenna,247.8,0.0,03/09/2023
88,Kukule,Not available,0.0,03/09/2023
89,Upper Koth.,1193.5,0.0,03/09/2023
90,Inginiyagala,71,7.5,03/10/2023
91,Norton,Not available,1.0,03/10/2023
92,Canyon,Not available,1.0,03/10/2023
93,Laxapana,Not available,0.0,03/10/2023
94,Ukuwela,440.5,0.0,03/10/2023
95,Rantambe,150.8,1.8,03/10/2023
96,Bowatenna,248,0.0,03/10/2023
97,Kukule,Not available,4.0,03/10/2023
98,Upper Koth.,1193.5,0.0,03/10/2023
99,Inginiyagala,71,4.5,03/11/2023
100,Norton,Not available,0.0,03/11/2023
101,Canyon,Not available,0.0,03/11/2023
102,Laxapana,Not available,0.0,03/11/2023
103,Ukuwela,440.7,7.8,03/11/2023
104,Rantambe,150.6,1.4,03/11/2023
105,Bowatenna,248.2,4.7,03/11/2023
106,Kukule,Not available,0.0,03/11/2023
107,Upper Koth.,1193.4,0.0,03/11/2023
108,Inginiyagala,71.3,0.0,03/14/2023
109,Norton,Not available,29.0,03/14/2023
110,Canyon,Not available,17.5,03/14/2023
111,Laxapana,Not available,6.7,03/14/2023
