,Major Reservoir,Present Level (masl),Rainfall (mm) for past 24 h,date
0,Castlereigh,1085.7,0.0,2/27/2023
1,Maussakalle,1158.1,0.0,2/27/2023
2,Kotmale,685.4,0.0,2/27/2023
3,Victoria,425.9,0.0,2/27/2023
4,Randenigala,226.2,0.0,2/27/2023
5,Samanalawewa,437.4,0.0,2/27/2023
6,Castlereigh,1085.6,0.0,2/28/2023
7,Maussakalle,1157.9,0.0,2/28/2023
8,Kotmale,685.0,1.1,2/28/2023
9,Victoria,425.7,4.5,2/28/2023
10,Randenigala,226.1,4.5,2/28/2023
11,Samanalawewa,437.2,0.0,2/28/2023
12,Castlereigh,1085.7,0.0,3/1/2023
13,Maussakalle,1157.7,13.0,3/1/2023
14,Kotmale,684.7,6.8,3/1/2023
15,Victoria,425.6,30.0,3/1/2023
16,Randenigala,226.2,49.5,3/1/2023
17,Samanalawewa,437.1,0.0,3/1/2023
18,Castlereigh,1085.6,0.0,3/2/2023
19,Maussakalle,1157.6,0.0,3/2/2023
20,Kotmale,684.6,0.0,3/2/2023
21,Victoria,425.5,12.5,3/2/2023
22,Randenigala,226.2,19.6,3/2/2023
23,Samanalawewa,436.9,0.0,3/2/2023
24,Castlereigh,1085.5,0.0,3/4/2023
25,Maussakalle,1157.2,0.0,3/4/2023
26,Kotmale,684.1,0.0,3/4/2023
27,Victoria,425.4,1.9,3/4/2023
28,Randenigala,225.9,11.8,3/4/2023
29,Samanalawewa,436.7,0.0,3/4/2023
30,Castlereigh,1085.5,0.0,3/5/2023
31,Maussakalle,1157.1,0.5,3/5/2023
32,Kotmale,683.8,0.0,3/5/2023
33,Victoria,425.3,0.8,3/5/2023
34,Randenigala,225.8,4.9,3/5/2023
35,Samanalawewa,436.6,0.0,3/5/2023
36,Castlereigh,1085.6,22.0,3/7/2023
37,Maussakalle,1156.8,16.8,3/7/2023
38,Kotmale,683.0,0.0,3/7/2023
39,Victoria,425.4,7.5,3/7/2023
40,Randenigala,225.6,10.4,3/7/2023
41,Samanalawewa,436.5,2.0,3/7/2023
42,Castlereigh,1085.6,4.6,3/8/2023
43,Maussakalle,1156.6,18.7,3/8/2023
44,Kotmale,682.7,3.0,3/8/2023
45,Victoria,425.3,0.0,3/8/2023
46,Randenigala,225.6,0.0,3/8/2023
47,Samanalawewa,436.3,0.0,3/8/2023
48,Castlereigh,1085.4,7.0,3/9/2023
49,Maussakalle,1156.5,1.4,3/9/2023
50,Kotmale,682.5,0.0,3/9/2023
51,Victoria,425.2,2.2,3/9/2023
52,Randenigala,225.5,0.0,3/9/2023
53,Samanalawewa,436.1,0.0,3/9/2023
54,Castlereigh,1085.3,5.3,3/10/2023
55,Maussakalle,1156.3,7.5,3/10/2023
56,Kotmale,682.0,0.0,3/10/2023
57,Victoria,425.1,0.0,3/10/2023
58,Randenigala,225.4,0.0,3/10/2023
59,Samanalawewa,435.8,0.0,3/10/2023
60,Castlereigh,1085.3,0.0,3/11/2023
61,Maussakalle,1156.2,0.0,3/11/2023
62,Kotmale,681.7,0.0,3/11/2023
63,Victoria,425.0,0.0,3/11/2023
64,Randenigala,225.4,2.3,3/11/2023
65,Samanalawewa,435.6,0.0,3/11/2023
66,Castlereigh,1085.4,6.0,3/14/2023
67,Maussakalle,1156.1,13.5,3/14/2023
68,Kotmale,680.6,0.0,3/14/2023
69,Victoria,424.7,0.0,3/14/2023
70,Randenigala,225.4,0.0,3/14/2023
71,Samanalawewa,435.5,0.0,3/14/2023
72,Castlereigh,1085.3,3.5,3/15/2023
73,Maussakalle,1156.0,8.0,3/15/2023
74,Kotmale,680.2,2.6,3/15/2023
75,Victoria,424.4,0.0,3/15/2023
76,Randenigala,225.5,0.0,3/15/2023
77,Samanalawewa,436.1,31.0,3/15/2023
78,Castlereigh,1085.3,3.5,3/15/2023
79,Maussakalle,1156.0,8.0,3/15/2023
80,Kotmale,680.2,2.6,3/15/2023
81,Victoria,424.4,0.0,3/15/2023
82,Randenigala,225.5,0.0,3/15/2023
83,Samanalawewa,436.1,31.0,3/15/2023
84,Castlereigh,1085.3,3.5,3/15/2023
85,Maussakalle,1156.0,8.0,3/15/2023
86,Kotmale,680.2,2.6,3/15/2023
87,Victoria,424.4,0.0,3/15/2023
88,Randenigala,225.5,0.0,3/15/2023
89,Samanalawewa,436.1,31.0,3/15/2023
90,Castlereigh,1085.3,3.5,3/15/2023
91,Maussakalle,1156.0,8.0,3/15/2023
92,Kotmale,680.2,2.6,3/15/2023
93,Victoria,424.4,0.0,3/15/2023
94,Randenigala,225.5,0.0,3/15/2023
95,Samanalawewa,436.1,31.0,3/15/2023
96,Castlereigh,1085.3,16.5,3/17/2023
97,Maussakalle,1156.0,5.9,3/17/2023
98,Kotmale,679.6,6.0,3/17/2023
99,Victoria,423.9,0.0,3/17/2023
100,Randenigala,225.8,21.0,3/17/2023
101,Samanalawewa,436.7,8.0,3/17/2023
102,Castlereigh,1085.2,0.0,3/18/2023
103,Maussakalle,1155.9,0.0,3/18/2023
104,Kotmale,679.5,0.0,3/18/2023
105,Victoria,423.6,0.0,3/18/2023
106,Randenigala,225.9,0.0,3/18/2023
107,Samanalawewa,436.8,0.0,3/18/2023
108,Castlereigh,1085.2,7.0,3/19/2023
109,Maussakalle,1155.9,3.0,3/19/2023
110,Kotmale,679.3,13.5,3/19/2023
111,Victoria,423.5,9.8,3/19/2023
112,Randenigala,225.9,16.5,3/19/2023
113,Samanalawewa,437.1,3.5,3/19/2023
114,Castlereigh,1085.2,7.0,3/19/2023
115,Maussakalle,1155.9,3.0,3/19/2023
116,Kotmale,679.3,13.5,3/19/2023
117,Victoria,423.5,9.8,3/19/2023
118,Randenigala,225.9,16.5,3/19/2023
119,Samanalawewa,437.1,3.5,3/19/2023
120,Castlereigh,1085.2,5.0,3/20/2023
121,Maussakalle,1155.9,12.6,3/20/2023
122,Kotmale,678.6,7.7,3/20/2023
